name,state,orig_county,established,discontinued,continuous,stamp_index,duration,latitude,longitude,state_full_name
ABAUGH,AR,Newton,1928.0,1954.0,True,1.0,26.0,35.7817467,-93.5015737,Arkansas
ABBIE JOE,LA,Beauregard,1918.0,1925.0,True,3.0,7.0,30.4918659,-93.3032165,Louisiana
ABERDEEN,GA,Fayette,1910.0,1929.0,True,3.0,19.0,33.4090047,-84.6018742,Georgia
ABNER,AR,Pike,1912.0,1925.0,True,3.0,13.0,34.1834395,-93.710742,Arkansas
ABSECON HEIGHTS,NJ,Atlantic,1910.0,1921.0,True,3.0,11.0,39.4467839,-74.4740399,New Jersey
ACLINE,FL,Charlotte,1910.0,1927.0,True,3.0,17.0,26.885063,-82.0150882,Florida
ACMAR,AL,Saint Clair,1911.0,1987.0,True,1.0,76.0,33.6226026,-86.4958172,Alabama
ACTION,AL,Jefferson,1924.0,1926.0,True,5.0,2.0,33.4267745,-86.7352655,Alabama
ADAMS,MS,Hinds,1950.0,1953.0,True,1.0,3.0,32.1598736,-90.5606536,Mississippi
ADDIE,MS,Issaquena,1910.0,1918.0,True,4.0,8.0,32.987347,-91.0759398,Mississippi
ADELBERT,MO,Washington,1922.0,1925.0,True,4.0,3.0,37.9708835,-90.7101298,Missouri
ADNER,LA,Bossier,1910.0,1915.0,True,5.0,5.0,32.5670946,-93.6079538,Louisiana
AI,GA,Gilmer,1920.0,1932.0,True,3.0,12.0,34.8336938,-84.452704,Georgia
ALAFLORA,AL,Escambia,1932.0,1939.0,True,4.0,7.0,31.0140697,-86.8463494,Alabama
ALAMANA,FL,Volusia,1910.0,1929.0,True,3.0,19.0,28.9430434,-81.1025585,Florida
ALBANY,AL,Morgan,1917.0,1927.0,True,1.0,10.0,34.5967589,-86.9655633,Alabama
ALBERT,AR,Montgomery,1910.0,1928.0,True,3.0,18.0,34.3712168,-93.8746385,Arkansas
ALCO,LA,Vernon,1922.0,1981.0,True,1.0,59.0,31.3343454,-93.1307188,Louisiana
ALDEN,AL,Jefferson,1934.0,1979.0,True,1.0,45.0,33.6389941,-86.9652734,Alabama
ALF,AR,Montgomery,1916.0,1953.0,True,1.0,37.0,34.4898262,-93.8704743,Arkansas
ALFALFA,LA,Rapides,1912.0,1927.0,True,3.0,15.0,31.3696237,-92.6184775,Louisiana
ALFALFA,AL,Marengo,1917.0,1925.0,False,4.0,8.0,32.5104136,-87.7644553,Alabama
ALGOA,AR,Jackson,1910.0,1957.0,True,1.0,47.0,35.505915,-91.1167899,Arkansas
ALICIA,PA,Fayette,1912.0,1935.0,True,2.0,23.0,40.0081298,-79.9283821,Pennsylvania
ALLENDALE,LA,Bossier,1912.0,1920.0,True,3.0,8.0,32.530707,-93.7110114,Louisiana
ALLEY SPRING,MO,Shannon,1950.0,1974.0,True,1.0,24.0,37.1442159,-91.4440263,Missouri
ALLFRIEND,AR,Newton,1927.0,1955.0,True,1.0,28.0,36.1109078,-93.4107396,Arkansas
ALLISON,AL,Greene,1921.0,1949.0,True,1.0,28.0,32.7867977,-87.9758499,Alabama
ALLISON,AR,Stone,1930.0,1972.0,True,1.0,42.0,35.9367399,-92.1173747,Arkansas
ALLSBROOK,SC,Horry,1915.0,1947.0,True,1.0,32.0,34.0201701,-78.9464191,South Carolina
ALLUVIAL,LA,Saint Bernard,1916.0,1918.0,True,5.0,2.0,29.8413171,-89.6914483,Louisiana
ALTACREST,TN,Fentress,1920.0,1928.0,True,3.0,8.0,36.4836845,-84.7729967,Tennessee
ALTHEA,MO,Ozark,1921.0,1926.0,True,4.0,5.0,36.6414507,-92.2287689,Missouri
ALTHOLM,PA,Warren,1913.0,1927.0,True,3.0,14.0,41.7533933,-79.3028249,Pennsylvania
AMELIA CITY,FL,Nassau,1927.0,1953.0,True,1.0,26.0,30.5902381,-81.4573127,Florida
AMY,AR,Ouachita,1914.0,1939.0,True,2.0,25.0,33.7320525,-92.8154405,Arkansas
ANCELL,MO,Scott,1912.0,1960.0,True,1.0,48.0,37.2167175,-89.5245336,Missouri
ANDALUSIA,FL,Flagler,1925.0,1932.0,True,3.0,7.0,29.4999723,-81.4847952,Florida
ANDERSON CREEK,PA,Clearfield,1915.0,1935.0,True,2.0,20.0,41.1458925,-78.54669,Pennsylvania
ANDREWS,FL,Nassau,1910.0,1920.0,True,3.0,10.0,30.7352343,-81.9478904,Florida
ANES,TN,Marshall,1915.0,1935.0,True,2.0,20.0,35.558682,-86.7508319,Tennessee
ANGEL CITY,FL,Brevard,1927.0,1932.0,True,3.0,5.0,28.3444505,-80.660608,Florida
ANREP,AR,Jefferson,1918.0,1927.0,False,4.0,9.0,34.2223205,-91.5681809,Arkansas
APOXSEE,FL,Osceola,1928.0,1933.0,True,3.0,5.0,27.8003052,-80.9395066,Florida
ARCHIE,LA,Catahoula,1921.0,1964.0,True,1.0,43.0,31.5798958,-91.9673517,Louisiana
ARCO,GA,Glynn,1920.0,1948.0,True,1.0,28.0,31.2013406,-81.5062129,Georgia
ARDATH,MO,Barton,1913.0,1914.0,True,6.0,1.0,37.6100456,-94.6052363,Missouri
ARDEN MINES,PA,Washington,1913.0,1929.0,True,3.0,16.0,40.2186819,-80.2645048,Pennsylvania
ARDSLEY,PA,Montgomery,1922.0,1929.0,True,1.0,7.0,40.1212211,-75.1551748,Pennsylvania
ARGOSY,AR,Fulton,1915.0,1931.0,True,2.0,16.0,36.3833987,-92.0737644,Arkansas
ARGYLE,LA,Pointe Coupee,1910.0,1914.0,True,5.0,4.0,30.6585213,-91.6440032,Louisiana
ARIZONA,LA,Claiborne,1925.0,1954.0,True,1.0,29.0,32.7890359,-92.9576596,Louisiana
ARLINGTON,FL,Duval,1912.0,1954.0,True,1.0,42.0,30.3527117,-81.5682638,Florida
ARMISTEAD,LA,Red River,1914.0,1955.0,True,1.0,41.0,32.0054394,-93.3804511,Louisiana
ARMSTRONG SPRINGS,AR,White,1912.0,1951.0,False,1.0,39.0,35.2820284,-91.8334743,Arkansas
AROMA,MO,Newton,1910.0,1911.0,True,6.0,1.0,36.8636783,-94.2646603,Missouri
ARP,GA,Irwin,1910.0,1932.0,True,2.0,22.0,31.7560156,-83.4068262,Georgia
ARTEX,AR,Miller,1918.0,1923.0,True,5.0,5.0,33.3876251,-93.8321262,Arkansas
ASHLEY CREEK,MO,Texas,1936.0,1951.0,True,1.0,15.0,37.403101,-91.6884813,Missouri
ASHRIDGE,LA,Concordia,1916.0,1919.0,True,5.0,3.0,31.0682333,-91.6303964,Louisiana
ASHTON,SC,Colleton,1920.0,1964.0,True,1.0,44.0,33.0159946,-80.9706582,South Carolina
ASSEMBLY POINT,NY,Warren,1924.0,1935.0,True,1.0,11.0,43.472847,-73.6576169,New York
ATCHAFALAYA,LA,Saint Martin,1914.0,1959.0,True,1.0,45.0,30.3460297,-91.7231692,Louisiana
ATHOL,MO,Jackson,1921.0,1928.0,True,3.0,7.0,39.1072266,-94.4832864,Missouri
ATHONE,LA,Concordia,1921.0,1925.0,True,4.0,4.0,31.6104479,-91.7376253,Louisiana
ATKINSON,AR,Newton,1915.0,1920.0,True,5.0,5.0,35.9714658,-93.0971192,Arkansas
AUDUBON,FL,Brevard,1914.0,1932.0,True,2.0,18.0,28.4372244,-80.6597742,Florida
AVANS,GA,Dade,1927.0,1959.0,True,1.0,32.0,34.885356,-85.5441314,Georgia
AVENT,MS,Greene,1926.0,1928.0,True,5.0,2.0,31.0018536,-88.7730903,Mississippi
AVENTINA,FL,Dade,1916.0,1924.0,True,3.0,8.0,25.9691763,-80.1297659,Florida
AVONDALE,MO,Clay,1915.0,1982.0,True,1.0,67.0,39.1541703,-94.5468991,Missouri
AWOSTING,NJ,Passaic,1915.0,1930.0,True,2.0,15.0,41.1545398,-74.3365404,New Jersey
AZUCAR,FL,Palm Beach,1930.0,1946.0,True,1.0,16.0,26.8497815,-80.616445,Florida
BACOM POINT,FL,Palm Beach,1918.0,1925.0,True,3.0,7.0,26.8033949,-80.6958914,Florida
BACONS FERRY,TN,Monroe,1914.0,1920.0,True,3.0,6.0,35.5650802,-84.1401893,Tennessee
BAILES,AR,Saint Francis,1918.0,1922.0,True,5.0,4.0,35.1348123,-90.5639941,Arkansas
BAILEY,FL,Madison,1914.0,1919.0,True,4.0,5.0,30.5682603,-83.5918217,Florida
BAKER SPRINGS,AR,Howard,1912.0,1928.0,True,3.0,16.0,34.3126101,-94.1677031,Arkansas
BAKEWELL,TN,Hamilton,1914.0,1964.0,True,1.0,50.0,35.3434025,-85.1330119,Tennessee
BALL CREEK,AR,Madison,1924.0,1924.0,True,6.0,0.0,35.8931341,-93.7782483,Arkansas
BALMAT,NY,St. Lawrence,1930.0,1992.0,True,1.0,62.0,44.2483948,-75.3949317,New York
BALTZER,MS,Sunflower,1913.0,1956.0,True,1.0,43.0,33.982056,-90.5948187,Mississippi
BANCROFT,GA,Early,1915.0,1918.0,True,5.0,3.0,31.4148974,-84.8399223,Georgia
BAND MILL,AR,Izard,1916.0,1921.0,True,5.0,5.0,36.1336801,-91.9790395,Arkansas
BANKHEAD,AL,Walker,1917.0,1950.0,True,1.0,33.0,33.776775,-87.3011153,Alabama
BANNER,MO,Iron,1924.0,1956.0,True,1.0,32.0,37.6969924,-90.8345721,Missouri
BANNISTER,LA,Beauregard,1910.0,1923.0,False,3.0,13.0,30.7074188,-93.2493287,Louisiana
BAPTIST,LA,Tangipahoa,1923.0,1954.0,True,1.0,31.0,30.5049135,-90.533146,Louisiana
BARDEL,LA,Richland,1910.0,1915.0,True,5.0,5.0,32.5509736,-91.757625,Louisiana
BARE BEACH,FL,Palm Beach,1920.0,1925.0,True,3.0,5.0,26.7286763,-80.8597846,Florida
BARNES,SC,Anderson,1912.0,1933.0,True,2.0,21.0,34.2592748,-82.6806875,South Carolina
BARREE,PA,Huntingdon,1910.0,1986.0,True,1.0,76.0,40.5853461,-78.1005628,Pennsylvania
BARRINEAU PARK,FL,Escambia,1918.0,1954.0,True,1.0,36.0,30.6938019,-87.4360913,Florida
BARRON,LA,Rapides,1911.0,1936.0,True,2.0,25.0,31.3368488,-92.2495756,Louisiana
BARTH,FL,Escambia,1913.0,1974.0,True,1.0,61.0,30.7615781,-87.3302541,Florida
BARTH,MS,Pearl River,1923.0,1930.0,True,3.0,7.0,30.6724124,-89.3644997,Mississippi
BARTO,MS,Pike,1913.0,1934.0,True,2.0,21.0,31.1757327,-90.3114825,Mississippi
BASINGER,FL,Okeechobee,1941.0,1980.0,True,1.0,39.0,27.4003186,-81.0164538,Florida
BASS RIVER,MA,Barnstable,1918.0,1960.0,True,1.0,42.0,41.6528893,-70.2036305,Massachusetts
BASSETTS CREEK,AL,Washington,1939.0,1946.0,True,3.0,7.0,31.4646097,-88.032225,Alabama
BASSINGER,FL,Okeechobee,1933.0,1941.0,True,2.0,8.0,27.4003186,-81.0164538,Florida
BAUGH,TN,Giles,1915.0,1944.0,True,2.0,29.0,35.0731384,-86.8505583,Tennessee
BAUXIPPI,AR,Crittenden,1917.0,1921.0,True,5.0,4.0,35.1387018,-90.1345376,Arkansas
BAY HARBOR,FL,Bay,1914.0,1948.0,True,1.0,34.0,30.1471462,-85.6146488,Florida
BAY LAKE,FL,Marion,1911.0,1953.0,True,1.0,42.0,29.4460829,-81.9745332,Florida
BAY SHORE,FL,Lee,1925.0,1942.0,True,2.0,17.0,26.7153469,-81.8234178,Florida
BAY SPRINGS,FL,Escambia,1921.0,1954.0,True,1.0,33.0,30.7735219,-87.4791488,Florida
BAYOU GEORGE,FL,Bay,1921.0,1938.0,True,2.0,17.0,30.2626986,-85.5399244,Florida
BEACH HAVEN CREST,NJ,Ocean,1910.0,1959.0,True,1.0,49.0,39.6126188,-74.2029169,New Jersey
BEACH HAVEN TERRACE,NJ,Ocean,1912.0,1959.0,False,1.0,47.0,39.5862296,-74.2234733,New Jersey
BEACON BEACH,FL,Bay,1920.0,1941.0,True,2.0,21.0,30.096592,-85.6474275,Florida
BEAL,MO,Shannon,1922.0,1932.0,True,2.0,10.0,37.1136604,-91.0959615,Missouri
BEAN CITY,FL,Palm Beach,1936.0,1973.0,True,1.0,37.0,26.6820111,-80.7617267,Florida
BEASLEY,AR,Poinsett,1915.0,1927.0,True,3.0,12.0,35.4678611,-90.3228765,Arkansas
BEATTY,MS,Carroll,1925.0,1927.0,True,4.0,2.0,33.2698488,-89.7389714,Mississippi
BEAVER BROOK,PA,Luzerne,1910.0,1966.0,True,1.0,56.0,40.9181413,-75.9893706,Pennsylvania
BECK,AR,Lee,1924.0,1933.0,True,3.0,9.0,34.7889865,-90.6031616,Arkansas
BEDFORD VALLEY,PA,Bedford,1927.0,1943.0,True,2.0,16.0,39.8292512,-78.6497401,Pennsylvania
BEE RIDGE,FL,Sarasota,1912.0,1956.0,True,1.0,44.0,27.283937,-82.4806518,Florida
BEEBE RIVER,NH,Grafton,1917.0,1971.0,True,1.0,54.0,43.8286822,-71.6509114,New Hampshire
BEGLEY,AR,Searcy,1923.0,1933.0,True,3.0,10.0,35.885631,-92.5337727,Arkansas
BEL,LA,Allen,1919.0,1960.0,True,1.0,41.0,30.5199219,-93.0845991,Louisiana
BELANDVILLE,FL,Santa Rosa,1932.0,1934.0,True,3.0,2.0,30.9818486,-86.8488491,Florida
BELCOVILLE,NJ,Atlantic,1918.0,1919.0,True,7.0,1.0,39.4373383,-74.7359963,New Jersey
BELLE TERRE,NY,Suffolk,1910.0,1914.0,True,4.0,4.0,40.9598208,-73.067884,New York
BELLEDEAU,LA,Avoyelles,1916.0,1929.0,True,3.0,13.0,31.0843553,-92.1917942,Louisiana
BELLS CAMP,PA,McKean,1910.0,1923.0,True,3.0,13.0,41.9800637,-78.5536351,Pennsylvania
BELLTOWN,PA,Somerset,1919.0,1919.0,True,5.0,0.0,40.1714652,-79.0130824,Pennsylvania
BELLVILLE,GA,Evans,1913.0,1966.0,True,1.0,53.0,32.1524142,-81.9742839,Georgia
